Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Unified School District 244,200 S. 6th St,,Burlington,KS,66839,620-364-8478,,,https://www.usd244ks.org/
Unified School District 252,100 Commercial St,,Hartford,KS,66854,620-392-5519,,,http://www.usd252.org/
Unified School District 245,1010 N. Main,,LeRoy,KS,66857,,,,https://www.usd245ks.org/
City of Leroy,713 N. Main,,LeRoy,KS,66857,,cityofleroyks@mchsi.com,,http://leroykansas.com/
Unified School District 243,411 Pearson,,Waverly,KS,66871,785-733-2651,creese@usd243ks.org,,https://www.usd243ks.org/
Greenwood County,311 N. Main St,,Eureka,KS,67045,,,,http://www.greenwoodcounty.org/
Eureka High School,815 North Jefferson,,Eureka,KS,67045,620-583-5588,,,http://www.usd389.net/
"Allied Health Career Training, LLC",2622 W Central,Suite B102,Wichita,KS,67203,316-854-3892,information@alliedhealthcareertraining.com,,https://alliedhealthcareertraining.com/
KANSEL (Kansas School for Effective Learning),2212 E Central,,Wichita,KS,67214,316-263-9620,office@kansel.org,,https://www.kansel.org/
Goodwill Industries DBA Nexstep Alliance,3351 N Webb Road,,Wichita,KS,67226,316-744-9291,,,https://goodwillks.org/how-we-help/
Independence Community College,1037 W. College Ave,,Independence,KS,67301,800-842-6063,,,https://www.indycc.edu/
Coffeyville Community College,400 West 11th,,Coffeyville,KS,67337,620-251-7700,,,https://www.coffeyville.edu/
West Elk High School,PO Box 278,,Howard,KS,67349,620-374-2147,,,http://westelk.us/
Labette Community College ,200 S. 14th,,Parsons,KS,67357,620-820-1182,karenb@labette.edu,,http://www.labette.edu/
Goodwill Industries Inc.,4805 N 72nd Street,,Omaha,NE,68134,402-341-4609,,,https://www.goodwillomaha.org/services/youthbuild/
Indian Center Inc.,1100 Military Road,,Lincoln,NE,68508,402-438-5231,,402-438-5236,https://www.indiancenterinc.org/
Juma,4035 Washington Avenue,,New Orleans,LA,70125,,torreyf@juma.org,,http://www.juma.org/new-orleans/
Start Corporation,420 Magnolia Street,,Houma,LA,70360,985-879-3966,,,http://communityservices.startcorp.org/houma
"Quad Area Community Action Agency, Inc.",45300 North Baptist Road,,Hammond,LA,70401,225-567-2350 ext. 207,,,http://quadarea.org/QuadArea.html
Northshore Technical College - Sullivan Campus,1710 Sullivan Drive,,Bogalusa,LA,70427,985-732-6878,admissions@northshorecollege.edu,,https://www.northshorecollege.edu/programs/youthbuild
Youth Challenge Program - Gillis W. Long Center,5445 Point Clair Rd,Bldg 20,Carville,LA,70721,800-226-7543,,,https://langycp.com/
St. James Parish,5153 Canatella St,,Convent,LA,70723,225-258-4351,,,http://www.stjamesla.com/221/Youth-Programs
Goodwill Industries Career Center,647 Main Street,,Baton Rouge,LA,70801,225-308-0220,slewis@goodwillno.org,,http://goodwillno.org/school-youth-services-baton-rouge/
Youth Challenge Program - Camp Minden,200 Louisiana Blvd.,,Minden,LA,71055,800-226-7543,,,https://langycp.com/
Southern University at Shreveport,3050 Dr. Martin Luther King Jr. Drive,,Shreveport,LA,71107,318-670-9571,,,http://www.ybshreveport.org/
Youth Challenge Program - Camp Beauregard,505 F Street,,Pineville,LA,71360,800-226-7543,,,https://langycp.com/
Boys and Girls Club of Saline County - Cedar Mountain,5050 N Hwy 7,PO Box 8603,Hot Springs Village,AR,71909,501-984-6996,,501-315-8181,https://www.scbgclub.com/
Boys and Girls Club of Saline County - Covenant Connections,1501 Woody Drive,,Alexander,AR,72002,501-682-9800,,501-315-8181,https://www.scbgclub.com/
Boys and Girls Club of Saline County - Benton,105 Cox Street,,Benton,AR,72015,501-943-5992,,501-315-8181,https://www.scbgclub.com/
Central Arkansas Workforce Development Area - Youth Program,902 N. Center Street,,Lonoke,AR,72086,501-676-2721,,,https://www.workforcear.com/programs
North Little Rock School District,2700 Poplar Street,,North Little Rock,AR,72114,501-771-8000,,501-396-3921,https://www.nlrsd.org/
Pulaski Technical College,3000 West Scenic Drive,,North Little Rock,AR,72118,501-812-2200,admissions@uaptc.edu,501-537-2910,https://uaptc.edu/
Little Rock Workforce Investment Board,5401 S. University Avenue,,Little Rock,AR,72209,501-683-3843,,,https://www.workforce.arkansas.gov/ACRS/LwiaListing.aspx
Youth and Family Services,7565 East Hwy 66,PO Box 1207,El Reno,OK,73036,405-262-6555,,405-262-6557,http://www.yfsok.org/
"Arbor E&T, Inc.",416 Hudiburg Circle,Suite B,Oklahoma City,OK,73108,405-639-3640,,405-639-3682,https://www.rescare.com/workforceservices/
Comanche Nation Workforce,584 NW Bingo Rd.,,Lawton,OK,73507,580-492-3240,,580-492-3770,https://comanchenation.com/?option=com_k2&view=itemlist&layout=category&task=category&id=36&Itemid=9
South Western Oklahoma Development Authority,PO Box 569,420 Sooner Drive,Burns Flat,OK,73624,580-562-4882,dailanjian@swoda.org,580-562-4880,https://www.swoda.org/
"Community Development Support Association, Inc.",114 S. Independence,,Enid,OK,73701,580-242-6131,,,http://www.cdsaok.org/yb.html
Oklahoma Economic Development Authority (OEDA),330 Douglas Ave,PO Box 668,Beaver,OK,73932,580-625-4531,,,http://www.oeda.org/
"Payne County Youth Services, Inc",2224 W 12th Street,,Stillwater,OK,74074,405-377-3380,,405-377-3499,http://www.pcys.org/
Tulsa American Job Center,201 W 5th Street,Suite 200,Tulsa,OK,74103,918-796-1200,,,
"Arbor Education and Training, LLC",14002 E 21st Street,Suite 1030,Tulsa,OK,74120,918-796-1200,,918-796-1233,https://www.rescare.com/workforceservices/
Thunderbird Youth Academy,417 S Elliott Street,,Pryor Creek,OK,74361,877-295-0932,,,https://thunderbird.org/
Connors State College,Rt 1 Box 1000,,Warner,OK,74469,918-463-2204,,918-462-6216,http://connorsstate.edu/
Kiamichi Economic Development District of Oklahoma,PO Box 328,,Wilburton,OK,74578,918-465-2367,,918-465-3873,http://www.keddo.org/
Northern Oklahoma Youth Services,2203 N Ash,,Ponca City,OK,74601,580-762-8341,bkelly@noysok.org,580-762-9967,https://www.noysok.org/
"Big Five Community Services, Inc.",PO Box 1577,,Durant,OK,74702,580-924-5331,adunn@bigfive.org,580-924-2004,https://www.bigfive.org/
"Workforce Dynamics, Inc.",14101 Acme Road,,Shawnee,OK,74804,405-878-0759,,405-878-1369,
All Stars Project Dallas,1835 Young Street,,Dallas,TX,75201,214-382-5890,ajoyce@allstars.org,,https://allstars.org/locations/dallas/
Bridges From School to Work,1201 Main Street,Suite 1515,Dallas,TX,75202,214-658-9820,robert.mollard@marriott.com,,http://www.bridgestowork.org/locations/dallas-fort-worth/
npower - Texas,1402 Corinth Street,Suite 137,Dallas,TX,75215,214-421-2300,Jodi.Jarrett@npower.org,,https://www.npower.org/locations/
Per Scholas Dallas,1610 S Malcolm X Blvd,Suite 380,Dallas,TX,75226,214-812-9319,dallas@perscholas.org,,https://perscholas.org/about?city=dallas
Alameda Heights Community Outreach Cente,2721 Lyola Street,,Dallas,TX,75241,214-372-4620,,,
Dynamic Workforce Solutions-East Texas,3800 Stone Road,,Kilgore,TX,75662,903-218-6400,,,
Dynamic Workforce Solutions-Deep East Texas,210 N John Redditt,,Lufkin,TX,75904,936-639-1351,,,
CLC Inc.,555 North Grants Lane,,Fort Worth,TX,76108,817-569-9008 ext. 22,,,http://www.clcinc.org/youthbuild.html
Arbor Education & Training (ResCare),4309 Jacksboro Hwy,Ste 300,Wichita Falls,TX,76302,940-322-1801,,,https://www.rescare.com/workforceservices/
Communities in School (ISY)-Heart of Texas,1001 Washington Ave,,Waco,TX,76701,254-753-6002,info@cis-hot.org,,http://www.cishot.org/
Arbor Education & Training (ResCare),202 Henry O Flipper St,,San Angelo,TX,76903,325-653-2321,,,https://www.rescare.com/workforceservices/
Genesys Works Houston,601 Jefferson Ave,Suite 3950,Houston,TX,77002,713-341-5777,houstoninfo@genesysworks.org,,https://genesysworks.org/about-us/mission-vision/
SER - Jobs For Progress,201 Broadway Street,,Houston,TX,77012,713-773-6000,info@serhouston.org,,https://serhouston.org/programs-and-services/youth/
Juma,9606 Hillcroft Street,,Houston,TX,77096,713-970-1642,marvish@juma.org,,https://www.juma.org/houston/
"Dynamic Educational Systems, Inc.",12621 Bissonnet Street,,Houston,TX,77099,281-372-8178,,,http://www.exodyne.com/desi_home.php
"Motivation, Education and Training, Inc.",22551 Tree Monkey Road,,New Caney,TX,77357,281-689-5544,metinc@metinc.org,,https://www.metinc.org/
Walker Montgomery Development Corporation,143 Forest Service Road,#233,New Waverly,TX,77358,936-344-7264,,,https://www.wmcdc.net/
Interfaith of the Woodlands,4242 Interfaith Way,,The Woodlands,TX,77381,281-292-4786,,,https://woodlandsinterfaith.org/
Baker Ripley (formerly Neighbordhood Centers Inc.),4500 Bissonnet Street,Suite 200,Bellaire,TX,77401,713-667-9400,goodtogo@bakerripley.org,,https://www.bakerripley.org/
"Serco of Texas, Inc.",3991 East 29th Street,,Bryan,TX,77802,979-595-2800,,,http://bvjobs.org/
ResCare Workforce Services,115 E. Travis,Suite 220,San Antonio,TX,78205,210-272-3260,info@wsalamo.org,210-272-3290,https://www.workforcesolutionsalamo.org/
SA Youth,1700 Tampico Street,,San Antonio,TX,78207,210-223-3131,,,https://sanantonioyouth.org/our-programs
"George Gervin Youth Center, Inc.- YouthBuild",6903 Sunbelt Drive South,,San Antonio,TX,78218,210-532-1511,,,https://www.gervin-school.org/apps/pages/index.jsp?uREC_ID=1581021&type=d&pREC_ID=1708651
"Serco of Texas, Inc.",555 North Carancahua,,Corpus Christi,TX,78401,361-903-7888,,,https://www.sercooftexas.com/
"CECT, LLC",4646 Corona Ave,Suite 190,Corpus Christi,TX,78411,325-795-4217,,,
"CECT Workforce Solutions, LLC",7821 Duchess Street,,Corpus Christi,TX,78413,254-296-5200,,,https://www.hotworkforce.com/
Community Development Corporation of Brownsville,901 East Levee Street,,Brownsville,TX,78520,956-548-2302,,,http://www.cdcbrownsville.org/youthbuild.html
Arbor Education & Training (ResCare),1001 W Buchanan Drive,Suite 1,Burnet,TX,78611,512-756-6769,,,https://www.rescare.com/workforceservices/
American Youthworks,1901 E Ben White Blvd,,Austin,TX,78741,512-744-1900,,,http://americanyouthworks.org/
Goodwill Industries of Central Texas,6505 Burleson Rd.,,Austin,TX,78744,512-681-3301,,,https://www.goodwillcentraltexas.org/education-job-training/opportunities-for-youth
Middle Rio Grande Development Council,307 W Nopal,,Carrizo Springs,TX,78834,830-876-3533,,,http://mrgdc.org/
"Huxford Group, LLC",4209 Alamo Road,,Amarillo,TX,79110,806-350-1632,,,
"South Plains Community Action Association, Inc",411 Austin Street,,Levelland,TX,79336,806-894-6104,,,https://spcaa.org/
West Central Texas COG,3702 Loop 322,,Abilene,TX,79602,325-672-8544,,,http://www.wctcog.org/
Arbor Education & Training (ResCare),2626 John Ben Shepperd Pkwy,Bldg D,Odessa,TX,79761,432-367-3332,,,https://www.rescare.com/workforceservices/
Texas ChalleNGe Academy,100 School House Rd,,Sheffield,TX,79781,877-822-0050,tca_admissions@ricecisd.org,,https://tmd.texas.gov/texas-challenge-academy
Dynamic Workforce Solutions-Borderplex,300 E Main St,Ste. 800,El Paso,TX,79901,915-887-2715,customerservice@borderplexjobs.com,,https://www.borderplexjobs.com/
Options Program,11351 Montview Boulevard,,Aurora,CO,80010,303-340-0666,,,https://aurorak12.org/schools/alternative-schools/options/
Leadership Development (Boettcher) Boys and Girls Club,1523 Boston Street,,Aurora,CO,80010,303-364-0039,boettcher@bgcmd.org,303-892-9210,https://www.bgcmd.org/
Asian Pacific Development Center,1544 Elmire St.,,Aurora,CO,80010,303-923-2920,info@apdc.org,303-344-4599,https://www.apdc.org/
Aurora Public Schools,15701 E. 1st Ave,Suite 206,Aurora,CO,80011,303-344-8060,,303-326-1280,https://aurorak12.org/
"Aurora Center for Treatment, LLC",1591 Chambers Rd,Ste E,Aurora,CO,80011,303-340-8990,,,http://www.auroracentx.com/
Community College of Aurora,16000 E. Center Tech Parkway,,Aurora,CO,80011,303-360-4700,OnlineAdvisor@ccaurora.edu,,https://www.ccaurora.edu/
William Smith Alternative High School,400 Airport Blvd.,,Aurora,CO,80011,303-364-8715,,303-326-1278,https://wshs.exloer.com/
Pickens Technical College,500 Airport Blvd,,Aurora,CO,80011,303-344-4910,,303-326-1277,https://www.pickenstech.org/
Arapahoe/Douglas Works,14880 East Alameda Street,,Aurora,CO,80012,303-636-1161,,303-636-1250,http://www.adworks.org/index.php/youth/wia-youth-program
Hampden Academy,14301 E. Hampden Ave,,Aurora,CO,80014,303-617-2300,,,
Huntington Learning Center,5123 W. 120th Ave,,Broomfield,CO,80020,303-404-0645,,303-404-0647,https://huntingtonhelps.com/center/broomfield
Adams County School-to-Work Alliance Program,4720 E. 69th Ave,,Commerce City,CO,80022,720-853-3333,,303-286-9753,https://www.adams14.org/index.php?ref=swap&ref=swap
Adams County School District 14,4720 E. 69th Ave,,Commerce City,CO,80022,720-853-3333,,303-286-9753,https://www.adams14.org/
Adams County Housing Authority,7190 Colorado Blvd,6th Floor,Commerce City,CO,80022,303-227-2075,,303-650-2951,https://unisonhp.org/
Aspen Family Services,1455 Dixon Ave,Suite 300,Lafayette,CO,80026,403-219-3477,aspenfamily@aspenfamily.org,720-240-0008,http://www.aspenfamily.org/
Adams County School District 50,4476 West 68th Avenue,,Westminster,CO,80030,303-428-3511,,303-428-2810,https://www.westminsterpublicschools.org/
"Ann Rose School of Nursing Arts, Inc",7280 Irving St,B-205,Westminster,CO,80030,303-650-2994,,,http://annroseschoolofnursingarts.com/
Front Range Community College Westminster Campus,3645 W. 112th Ave,,Westminster,CO,80031,303-404-5000,,303-404-5150,https://www.frontrange.edu/
"The Comitis Crisis Center, Inc",2178 Victor Street,,Aurora,CO,80045,720-975-0155,,,https://www.milehighbehavioralhealthcare.org/
Douglas County School District,620 Wilcox Street,,Castle Rock,CO,80104,303-387-0100,,,https://www.dcsdk12.org/
Douglas County Public Schools,620 Wilcox Street,,Castle Rock,CO,80104,303-387-0100,,303-387-0107,https://www.dcsdk12.org/
Colorado Finest High School,2323 West Baker Ave,,Englewood,CO,80110,303-806-2503,,303-934-9183,http://www.englewoodschools.net/career-and-technical-education-cte
Colorado's Finest Alternative High School,300 West Chenango Avenue,,Englewood,CO,80110,303-934-5786,,,http://www.englewoodschools.net/
Cherry Creek Public Schools,4700 S. Yosemite Street,,Greenwood Village,CO,80111,303-773-1184,,,https://www.cherrycreekschools.org/CherryCreekSchools
ARC- Arapahoe and Douglas counties,6538 S Racine Circle,,Centennial,CO,80111,303-220-9228,,303-220-0994,https://arc-ad.org/
Colorado State University-Global Campus,"8000 East Maplewood, Building 5",Suite 250,Greenwood Village,CO,80111,800-920-6723,successadvisor@csuglobal.org,,https://csuglobal.edu/
Rocky Mountain Asphalt Education Center-Colorado Asphalt Pavement Association,6880 S. Yosemite Ct.,Suite110,Centennial,CO,80112,303-741-6148,,303-741-6146,https://co-asphalt.com/
"Youth and Family Development: 4H Program- Colorado State University, Arapahoe County",6934 S Lima St b,,Centennial,CO,80112,303-730-1920,,303-730-2764,http://www.co.arapahoe.co.us/
Arapahoe/ Douglas Works!,6974 S. Lima Street,,Centennial,CO,80112,303-636-1260,futureu@arapahoegov.com,303-636-1250,http://www.adworks.org/
Littleton Public School District,5776 South Crocker Street,,Littleton,CO,80120,303-347-3300,mleonard@lps.k12.co.us,303-347-4350,https://littletonpublicschools.net/
"Arapahoe County, Colorado State University- Youth an Family Development: 4H Program",5804 S. Datura Street,,Littleton,CO,80120,303-636-1160,,303-730-2464,http://www.co.arapahoe.co.us/
Littleton Options Alternative High School,6558 S. Acoma St,,Littleton,CO,80120,303-347-3580,,303-347-3590,https://littletonpublicschools.net/
Arapahoe Community College,5900 S. Santa Fe Dr. P.O Box 9002,Campus Box 28,Littleton,CO,80160,303-797-5664,advising@arapahoe.edu,303-797-5748,https://www.arapahoe.edu/
Governor's Summer Job Hunt,1515 Arapahoe Street,Suite 400,Denver,CO,80202,303-620-4209,,303-620-4257,https://www.colorado.gov/pacific/gsjh
Synergy Resources Corporation,1625 Broadway,Suite 300,Denver,CO,80202,720-616-4300,,720-616-4301,https://www.srcenergy.com/
Piton Foundation,370 17th Street,Suite 5300,Denver,CO,80202,303-572-1727,,303-628-3839,https://www.garycommunity.org/piton
Colorado Division of Vocational Rehabilitation,633 17th Street,Suite 1501,Denver,CO,80202,303-318-8571,voc.rehab@state.co.us,303-318-8569,https://www.colorado.gov/pacific/dvr/youth-and-transition-services
University of Colorado - Denver,1800 Grant St,Suite 800,Denver,CO,80203,303-860-5600,,303-860-5610,http://www.ucdenver.edu/pages/ucdwelcomepage.aspx
American Red Cross,444 Shernam Street,,Denver,CO,80203,303-722-7474,,303-722-7588,https://www.redcross.org/ns/site/index.html
Public Education and Business Coalition,600 Grant Street,Suite 525,Denver,CO,80203,303-861-8661,,303-861-1501,https://www.pebc.org/
Denver Public Schools,900 Grant Street,,Denver,CO,80203,720-423-3300,,720-423-3318,
Journeyman/Apprenticeship Training Operating Engineer,990 Kalamath,,Denver,CO,80203,303-623-3194,,303-623-8179,http://www.iuoelocal9.com/
Colorado High School Charter,1175 Osage Street,Suite 100,Denver,CO,80204,303-892-8475,,303-825-3011,https://www.coloradohighschoolcharter.com/
Emily Griffith Opportunity School,1250 Welton Street,,Denver,CO,80204,720-423-4700,,720-423-4796,https://www.emilygriffith.edu/
Girls Incorporated of Metro Denver,1499 Julian Street,,Denver,CO,80204,303-893-4363,,303-893-4352,https://girlsinc.org/
Year One dba Mile High Youth Corps,1801 Federal Blvd.,,Denver,CO,80204,303-433-1206 ext. 234,,,https://www.milehighyouthcorps.org/taxonomy/term/6
Fresh Start Center,2715 W. Holden Place,,Denver,CO,80204,303-886-3077,,,https://www.freshstartcenter.com/
Mi Carrera Youth Development Program-Mi Casa Resource Center,360 Acoma Street,,Denver,CO,80204,303-573-1302,,303-595-0422,https://micasaresourcecenter.org/
Metro Denver Partners,1625 E 35th Ave.,,Denver,CO,80205,303-777-7000,admin@metrodenverpartners.org,303-777-0150,https://www.metrodenverpartners.org/mentoring/
Community College of Denver (East Campus),1700 East 28th Avenue,,Denver,CO,80205,303-293-8737,,303-292-4315,https://www.ccd.edu/
